t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
316722,504,-1291,3776,16,-7,-87,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316724,508,-1286,3783,78,-5,-98,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316726,505,-1271,3777,134,-2,-111,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316728,501,-1249,3752,183,2,-125,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316730,510,-1218,3756,220,5,-140,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316732,516,-1182,3759,242,9,-150,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316734,517,-1128,3755,252,18,-156,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316736,525,-1074,3755,248,24,-156,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316738,526,-1016,3782,227,31,-148,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316740,534,-974,3813,186,37,-135,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316742,529,-945,3856,128,40,-120,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316744,519,-939,3863,57,45,-102,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316746,507,-934,3859,-22,45,-87,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316748,502,-937,3858,-103,41,-73,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316750,503,-952,3841,-177,36,-57,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316752,499,-958,3831,-248,35,-44,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316754,481,-959,3812,-315,33,-31,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
316756,470,-963,3788,-374,30,-17,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
